MFAEnabled,License,UserPrincipalName,AccountEnabled,GivenName,Surname,MailNickName,Manager,JobTitle,Department,Mobile,Telephone,Office,StreetAddress,City,Country,State,PostCode,UsageLocation,ShowInAddressList
TRUE,DEVELOPERPACK,Garth.Fort,TRUE,Garth,Fort,Garth.Fort,Karim Manar,HR Manager,Human Resources,07532 362224,01923 367 8362 Ext 2224,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Cesar.Garcia,TRUE,Cesar,Garcia,Cesar.Garcia,Christine Koch,Strategy Consulting Manager,Strategy Consulting,07532 362225,01923 367 8362 Ext 2225,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Christa.Geller,TRUE,Christa,Geller,Christa.Geller,Jeff Hay,CVP of Online,Executive,07532 362226,01923 367 8362 Ext 2226,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Jack.Creasey,TRUE,Jack,Creasey,Jack.Creasey,Dan Park,Managing Director,Sales Engagement Management,07996 401115,029 2048 6384 Ext 1115,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,David.Maman,TRUE,David,Maman,David.Maman,Christine Koch,Strategy Consulting Manager,Strategy Consulting,07996 401116,029 2048 6384 Ext 1116,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Alan.Brewer,TRUE,Alan,Brewer,Alan.Brewer,Jack Creasey,Regional Sales Manager,Sales,07232 141112,0141 222 2911 Ext 1112,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,David.Simpson,TRUE,David,Simpson,David.Simpson,Alan Brewer,Sales Manager,Sales Engagement Management,07232 141113,0141 222 2911 Ext 1113,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Anna.Lidman,TRUE,Anna,Lidman,Anna.Lidman,Christa Geller,SVP of Online Services,Senior Management,07232 141114,0141 222 2911 Ext 1114,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Eduard.Dell,TRUE,Eduard,Dell,Eduard.Dell,Jack Creasey,Regional Sales Manager,Sales,07213 204449,0207 762 1242 Ext 4449,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Spencer.Low,TRUE,Spencer,Low,Spencer.Low,Jack Creasey,Regional Sales Manager,Sales,07213 204450,0207 762 1242 Ext 4450,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Kelly.Weadock,TRUE,Kelly,Weadock,Kelly.Weadock,Adam Barr,CTO of Professional Services,Operations,07213 204451,0207 762 1242 Ext 4451,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Molly.Clark,TRUE,Molly,Clark,Molly.Clark,Anna Lidman,GM of Online Ad Sales and Affiliate Marketing,Senior Management,07996 401117,029 2048 6384 Ext 1117,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Larry.Zhang,TRUE,Larry,Zhang,Larry.Zhang,Jack Creasey,Regional Sales Manager,Sales,07532 362227,01923 367 8362 Ext 2227,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Arturo.Lopez,TRUE,Arturo,Lopez,Arturo.Lopez,Kelly Weadock,IT Director,Operations,07532 362228,01923 367 8362 Ext 2228,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,April.Stewart,TRUE,April,Stewart,April.Stewart,Eduard Dell,Sales Manager,Sales,07532 362229,01923 367 8362 Ext 2229,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Aaron.Painter,TRUE,Aaron,Painter,Aaron.Painter,Christine Koch,Strategy Consulting Manager,Strategy Consulting,07996 401118,029 2048 6384 Ext 1118,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Andrew.Ma,TRUE,Andrew,Ma,Andrew.Ma,Alan Steiner,Senior Project Manager,Project Management,07996 401119,029 2048 6384 Ext 1119,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Diane.Prescott,TRUE,Diane,Prescott,Diane.Prescott,Molly Clark,Director of Ad Sales,Marketing,07996 401120,029 2048 6384 Ext 1120,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Arthur.Yasinski,TRUE,Arthur,Yasinski,Arthur.Yasinski,Spencer Low,Sales Manager,Sales Engagement Management,07996 401121,029 2048 6384 Ext 1121,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Brad.Sutton,TRUE,Brad,Sutton,Brad.Sutton,Christine Koch,Strategy Consulting Manager,Strategy Consulting,07213 204452,0207 762 1242 Ext 4452,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Amy.Alberts,TRUE,Amy,Alberts,Amy.Alberts,Garth Fort,HR Manager,Human Resources,07996 401122,029 2048 6384 Ext 1122,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Steve.Luper,TRUE,Steve,Luper,Steve.Luper,Jack Creasey,Regional Sales Manager,Sales,07213 204453,0207 762 1242 Ext 4453,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Julian.Isla,TRUE,Julian,Isla,Julian.Isla,Molly Clark,Sr. Business Development Manager,Senior Management,07996 401123,029 2048 6384 Ext 1123,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Scott.Bishop,TRUE,Scott,Bishop,Scott.Bishop,Alan Steiner,Senior Project Manager,Project Management,07213 204454,0207 762 1242 Ext 4454,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Kelly.Krout,TRUE,Kelly,Krout,Kelly.Krout,Adam Barr,Marketing Manager,Marketing,07213 204455,0207 762 1242 Ext 4455,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Stan.Orme,TRUE,Stan,Orme,Stan.Orme,Alan Steiner,Content Management Consulting Manager,Content Management Consulting,07213 204456,0207 762 1242 Ext 4456,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Mike.Nash,TRUE,Mike,Nash,Mike.Nash,Alan Steiner,Senior Project Manager,Project Management,07213 204457,0207 762 1242 Ext 4457,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Jenni.Merrifield,TRUE,Jenni,Merrifield,Jenni.Merrifield,David Maman,Strategy Consultant,Strategy Consulting,07532 362230,01923 367 8362 Ext 2230,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Keith.Dishmo,TRUE,Keith,Dishmo,Keith.Dishmo,Adam Barr,Procurement Manager,Operations,07532 362231,01923 367 8362 Ext 2231,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Jose.Saraiva,TRUE,Jose,Saraiva,Jose.Saraiva,Larry Zhang,Sales Manager,Sales,07213 204458,0207 762 1242 Ext 4458,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Lene.Aalling,TRUE,Lene,Aalling,Lene.Aalling,Steve Luper,Sales Manager,Sales Engagement Management,07532 362232,01923 367 8362 Ext 2232,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Barry.Johnson,TRUE,Barry,Johnson,Barry.Johnson,Alan Steiner,Project Manager,Project Management,07532 362233,01923 367 8362 Ext 2233,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Ellen.Adams,TRUE,Ellen,Adams,Ellen.Adams,Christine Koch,Strategy Consulting Manager,Strategy Consulting,07532 362234,01923 367 8362 Ext 2234,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Ben.Spain,TRUE,Ben,Spain,Ben.Spain,Adam Barr,Manager,Operations,07532 362235,01923 367 8362 Ext 2235,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,David.Zazzo,TRUE,David,Zazzo,David.Zazzo,Adam Barr,Managing Director,Engineering Operations,07532 362236,01923 367 8362 Ext 2236,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Carol.Troup,TRUE,Carol,Troup,Carol.Troup,David Zazzo,Strategy Consulting Manager,Engineering Operations,07532 362237,01923 367 8362 Ext 2237,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Erika.Cheley,TRUE,Erika,Cheley,Erika.Cheley,Ben Spain,Manager,Operations,07532 362238,01923 367 8362 Ext 2238,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Brian.Groth,TRUE,Brian,Groth,Brian.Groth,Barry Johnson,Project Manager,Project Management,07532 362239,01923 367 8362 Ext 2239,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Syed.Abbas,TRUE,Syed,Abbas,Syed.Abbas,Aaron Painter,CRM Consulting Manager,CRM Strategy,07532 362240,01923 367 8362 Ext 2240,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Peder.Thode,TRUE,Peder,Thode,Peder.Thode,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204459,0207 762 1242 Ext 4459,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Mary.Cha,TRUE,Mary,Cha,Mary.Cha,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204460,0207 762 1242 Ext 4460,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Lisa.Andrews,TRUE,Lisa,Andrews,Lisa.Andrews,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204461,0207 762 1242 Ext 4461,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Jim.Lucey,TRUE,Jim,Lucey,Jim.Lucey,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204462,0207 762 1242 Ext 4462,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Gareth.Chan,TRUE,Gareth,Chan,Gareth.Chan,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204463,0207 762 1242 Ext 4463,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Karin.Lamb,TRUE,Karin,Lamb,Karin.Lamb,Syed Abbas,CRM Consultant,CRM Strategy,07213 204464,0207 762 1242 Ext 4464,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,David.Hamilton,TRUE,David,Hamilton,David.Hamilton,Stan Orme,CRM Consultant,Content Management Consulting,07232 141115,0141 222 2911 Ext 1115,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Merav.Sror,TRUE,Merav,Sror,Merav.Sror,Syed Abbas,CRM Consultant,CRM Strategy,07213 204465,0207 762 1242 Ext 4465,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Reina.Cabatana,TRUE,Reina,Cabatana,Reina.Cabatana,Stan Orme,Content Management Consultant,Content Management Consulting,07996 401124,029 2048 6384 Ext 1124,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Robin.Young,TRUE,Robin,Young,Robin.Young,Stan Orme,Content Management Consultant,Content Management Consulting,07996 401125,029 2048 6384 Ext 1125,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Peter.Saddow,TRUE,Peter,Saddow,Peter.Saddow,Stan Orme,Content Management Consultant,Content Management Consulting,07996 401126,029 2048 6384 Ext 1126,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Vladimir.Egorov,TRUE,Vladimir,Egorov,Vladimir.Egorov,Stan Orme,Content Management Consultant,Content Management Consulting,07232 141116,0141 222 2911 Ext 1116,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Esther.Valle,TRUE,Esther,Valle,Esther.Valle,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204466,0207 762 1242 Ext 4466,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Lori.Kane,TRUE,Lori,Kane,Lori.Kane,Brad Sutton,Strategy Consultant,Strategy Consulting,07232 141117,0141 222 2911 Ext 1117,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Cliff.Diddier,TRUE,Cliff,Diddier,Cliff.Diddier,Carol Troup,Engineer,Engineering Operations,07996 401127,029 2048 6384 Ext 1127,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Chen.Yang,TRUE,Chen,Yang,Chen.Yang,Carol Troup,Engineer,Engineering Operations,07996 401128,029 2048 6384 Ext 1128,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Bernard.Tham,TRUE,Bernard,Tham,Bernard.Tham,Carol Troup,Engineer,Engineering Operations,072321 41118,0141 222 2911 Ext 1118,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Ari.Suominen,TRUE,Ari,Suominen,Ari.Suominen,Carol Troup,Engineer,Engineering Operations,07213 204467,0207 762 1242 Ext 4467,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Anu.Deshpande,TRUE,Anu,Deshpande,Anu.Deshpande,Carol Troup,Engineer,Creative,07996 401129,029 2048 6384 Ext 1129,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Allan.Guinot,TRUE,Allan,Guinot,Allan.Guinot,Carol Troup,Engineer,Engineering Operations,07213 204468,0207 762 1242 Ext 4468,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Toby.Nixon,TRUE,Toby,Nixon,Toby.Nixon,Syed Abbas,CRM Consultant,CRM Strategy,07996 401130,029 2048 6384 Ext 1130,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Tad.Orman,TRUE,Tad,Orman,Tad.Orman,Syed Abbas,CRM Consultant,CRM Strategy,072321 41119,0141 222 2911 Ext 1119,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Jeff.Williams,TRUE,Jeff,Williams,Jeff.Williams,Syed Abbas,CRM Consultant,CRM Strategy,072321 41120,0141 222 2911 Ext 1120,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Frank.Miller,TRUE,Frank,Miller,Frank.Miller,David Maman,Strategy Consultant,Strategy Consulting,07213 204469,0207 762 1242 Ext 4469,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,William.Vong,TRUE,William,Vong,William.Vong,Cesar Garcia,Strategy Consultant,Strategy Consulting,07996 401131,029 2048 6384 Ext 1131,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Sameer.Tejani,TRUE,Sameer,Tejani,Sameer.Tejani,Ellen Adams,Strategy Consultant,Strategy Consulting,07996 401132,029 2048 6384 Ext 1132,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Jon.Jaffe,TRUE,Jon,Jaffe,Jon.Jaffe,Brad Sutton,Strategy Consultant,Strategy Consulting,07532 362241,01923 367 8362 Ext 2241,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Mike.Ray,TRUE,Mike,Ray,Mike.Ray,David Maman,Strategy Consultant,Strategy Consulting,07532 362242,01923 367 8362 Ext 2242,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Robert.OHara,TRUE,Robert,O'Hara,Robert.OHara,Stan Orme,Content Management Consultant,Content Management Consulting,07532 362243,01923 367 8362 Ext 2243,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Lisa.Miller,TRUE,Lisa,Miller,Lisa.Miller,Cesar Garcia,Strategy Consultant,Strategy Consulting,07532 362244,01923 367 8362 Ext 2244,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Jason.Carlson,TRUE,Jason,Carlson,Jason.Carlson,Syed Abbas,CRM Consultant,CRM Strategy,07532 362245,01923 367 8362 Ext 2245,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Jim.Corbin,TRUE,Jim,Corbin,Jim.Corbin,David Maman,Strategy Consultant,Strategy Consulting,07532 362246,01923 367 8362 Ext 2246,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Jesus.Escolar,TRUE,Jesus,Escolar,Jesus.Escolar,Aaron Painter,Strategy Consultant,Strategy Consulting,07532 362247,01923 367 8362 Ext 2247,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Idan.Rubin,TRUE,Idan,Rubin,Idan.Rubin,Brad Sutton,Strategy Consultant,Strategy Consulting,07532 362248,01923 367 8362 Ext 2248,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Don.Hall,TRUE,Don,Hall,Don.Hall,Ellen Adams,Strategy Consultant,Strategy Consulting,07532 362249,01923 367 8362 Ext 2249,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Blaine.Dockter,TRUE,Blaine,Dockter,Blaine.Dockter,Ellen Adams,Strategy Consultant,Strategy Consulting,07532 362250,01923 367 8362 Ext 2250,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Anne.Weiler,TRUE,Anne,Weiler,Anne.Weiler,Cesar Garcia,Strategy Consultant,Strategy Consulting,07213 204470,0207 762 1242 Ext 4470,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Allison.Brown,TRUE,Allison,Brown,Allison.Brown,Aaron Painter,Strategy Consultant,Strategy Consulting,07213 204471,0207 762 1242 Ext 4471,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Valery.Ushakov,TRUE,Valery,Ushakov,Valery.Ushakov,Carol Troup,Engineer,Engineering Operations,07213 204472,0207 762 1242 Ext 4472,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Tosh.Meston,TRUE,Tosh,Meston,Tosh.Meston,Syed Abbas,CRM Consultant,CRM Strategy,07213 204473,0207 762 1242 Ext 4473,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Sanjay.Patel,TRUE,Sanjay,Patel,Sanjay.Patel,Stan Orme,Content Management Consultant,Content Management Consulting,07213 204474,0207 762 1242 Ext 4474,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Roland.Wacker,TRUE,Roland,Wacker,Roland.Wacker,Aaron Painter,Strategy Consultant,Strategy Consulting,07213 204475,0207 762 1242 Ext 4475,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,David.Derwin,TRUE,David,Derwin,David.Derwin,Brian Groth,Project Manager,1099 Contractor,07213 204476,0207 762 1242 Ext 4476,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,John.Yokum,TRUE,John,Yokum,John.Yokum,Ellen Adams,Strategy Consultant,Strategy Consulting,07213 204477,0207 762 1242 Ext 4477,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Scott.Rockfield,TRUE,Scott,Rockfield,Scott.Rockfield,Brian Groth,Project Manager,1099 Contractor,07532 362251,01923 367 8362 Ext 2251,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Humberto.Acevedo,TRUE,Humberto,Acevedo,Humberto.Acevedo,Brian Groth,Project Manager,1099 Contractor,07532 362252,01923 367 8362 Ext 2252,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,David.So,TRUE,David,So,David.So,Brian Groth,Project Manager,1099 Contractor,07532 362253,01923 367 8362 Ext 2253,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Anders.Madsen,TRUE,Anders,Madsen,Anders.Madsen,Brian Groth,Project Manager,1099 Contractor,07532 362254,01923 367 8362 Ext 2254,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Alexandre.Silva,TRUE,Alexandre,Silva,Alexandre.Silva,Brian Groth,Project Manager,1099 Contractor,07532 362255,01923 367 8362 Ext 2255,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Stuart.Munson,TRUE,Stuart,Munson,Stuart.Munson,Brian Groth,Project Manager,1099 Contractor,07532 362256,01923 367 8362 Ext 2256,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Qiong.Wu,TRUE,Qiong,Wu,Qiong.Wu,Brian Groth,Project Manager,1099 Contractor,07532 362257,01923 367 8362 Ext 2257,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Michiko.Osada,TRUE,Michiko,Osada,Michiko.Osada,Brian Groth,Project Manager,1099 Contractor,07532 362258,01923 367 8362 Ext 2258,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Michael.Zeman,TRUE,Michael,Zeman,Michael.Zeman,Brian Groth,Project Manager,1099 Contractor,07532 362259,01923 367 8362 Ext 2259,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Maurice.Taylor,TRUE,Maurice,Taylor,Maurice.Taylor,Brian Groth,Project Manager,1099 Contractor,07213 204478,0207 762 1242 Ext 4478,London,9934 Highway Road,London,England,,EC3 1VO,GB,TRUE
TRUE,DEVELOPERPACK,Guido.Pica,TRUE,Guido,Pica,Guido.Pica,Brian Groth,Project Manager,1099 Contractor,07996 401133,029 2048 6384 Ext 1133,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
TRUE,DEVELOPERPACK,Jessica.Arnold,TRUE,Jessica,Arnold,Jessica.Arnold,Brian Groth,Project Manager,1099 Contractor,07532 362260,01923 367 8362 Ext 2260,Watford,67 Manor Road,Watford,England,,WD32 5WF,GB,TRUE
TRUE,DEVELOPERPACK,Chase.Carpenter,TRUE,Chase,Carpenter,Chase.Carpenter,Karim Manar,Accountant,Accounting,072321 41121,0141 222 2911 Ext 1121,Scotland,33 Nith Street,Glasgow,Scotland,,G12 1UR,GB,TRUE
TRUE,DEVELOPERPACK,Terrence.Phillip,TRUE,Terrence,Phillip,Terrence.Phillip,Jenni Merrifield,Strategy Consultant,1099 Contractor,07996 401134,029 2048 6384 Ext 1134,Cardiff,Forgeside Close,Cardiff,Wales,,CF24 5FA,GB,TRUE
